total_episodes,episodes_with_ads,percentage_episodes_with_ads,total_sponsor_ads,total_ad_time,average_sponsor_length,average_ad_percentage_per_episode,avg_episode_ad_count,sponsor_time_map,sponsor_frequency_map,average_brand_repeat_rate,sorted_brands_by_frequency,sorted_brands_by_ad_time,clientId
5,4,80.0,7,100.0,14.285714285714286,0.4952527099898167,1.4,"{'absoluterest.com': 12.0, 'starmagichealing.org': 23.0, 'galacticplanner.com': 4.0, 'galacticcenter.org': 43.0, 'universityofvedicastrology.com': 4.0, 'mewingapp.co': 9.0, 'myobrace.com': 5.0}","{'absoluterest.com': 1, 'starmagichealing.org': 1, 'galacticplanner.com': 1, 'galacticcenter.org': 1, 'universityofvedicastrology.com': 1, 'mewingapp.co': 1, 'myobrace.com': 1}",1.0,"['absoluterest.com', 'starmagichealing.org', 'galacticplanner.com', 'galacticcenter.org', 'universityofvedicastrology.com', 'mewingapp.co', 'myobrace.com']","['galacticcenter.org', 'starmagichealing.org', 'absoluterest.com', 'mewingapp.co', 'myobrace.com', 'galacticplanner.com', 'universityofvedicastrology.com']",alignpodcast
5,1,20.0,1,484.0,484.0,2.4954885279711267,0.2,{'crusoeenergy.com': 484.0},{'crusoeenergy.com': 1},1.0,['crusoeenergy.com'],['crusoeenergy.com'],allin
5,3,60.0,6,1134.0,189.0,11.85397370847878,1.2,"{'shopify.com/Adulting': 600.0, 'cokeurl.com/simplyPOP': 68.0, 'nutrafol.com': 103.0, 'feeld.co': 223.0, 'prettylitter.com': 67.0, 'takestasis.com': 73.0}","{'shopify.com/Adulting': 1, 'cokeurl.com/simplyPOP': 1, 'nutrafol.com': 1, 'feeld.co': 1, 'prettylitter.com': 1, 'takestasis.com': 1}",1.0,"['shopify.com/Adulting', 'cokeurl.com/simplyPOP', 'nutrafol.com', 'feeld.co', 'prettylitter.com', 'takestasis.com']","['shopify.com/Adulting', 'feeld.co', 'nutrafol.com', 'takestasis.com', 'cokeurl.com/simplyPOP', 'prettylitter.com']",almostadulting
0,0,0.0,0,0.0,0.0,0.0,0.0,{},{},0.0,[],[],almostfamous
5,5,100.0,19,1257.0,66.15789473684211,4.807683488293137,3.8,"{'helixsleep.com': 78.0, 'audible.com': 121.0, 'chime.com': 89.0, 'smalls.com': 80.0, 'zocdoc.com': 61.0, 'joinbuilt.com': 72.0, 'mintmobile.com': 84.0, 'angryorchard.com': 273.0, 'cornbread.com': 55.0, 'modcloth.com': 4.0, 'oneskin.co': 75.0, 'hungryroot.com': 81.0, 'dailylook.com': 56.0, 'quince.com': 70.0, 'rocketmoney.com': 58.0}","{'helixsleep.com': 1, 'audible.com': 2, 'chime.com': 2, 'smalls.com': 1, 'zocdoc.com': 1, 'joinbuilt.com': 1, 'mintmobile.com': 1, 'angryorchard.com': 3, 'cornbread.com': 1, 'modcloth.com': 1, 'oneskin.co': 1, 'hungryroot.com': 1, 'dailylook.com': 1, 'quince.com': 1, 'rocketmoney.com': 1}",1.2666666666666666,"['angryorchard.com', 'audible.com', 'chime.com', 'helixsleep.com', 'smalls.com', 'zocdoc.com', 'joinbuilt.com', 'mintmobile.com', 'cornbread.com', 'modcloth.com', 'oneskin.co', 'hungryroot.com', 'dailylook.com', 'quince.com', 'rocketmoney.com']","['angryorchard.com', 'audible.com', 'chime.com', 'mintmobile.com', 'hungryroot.com', 'smalls.com', 'helixsleep.com', 'oneskin.co', 'joinbuilt.com', 'quince.com', 'zocdoc.com', 'rocketmoney.com', 'dailylook.com', 'cornbread.com', 'modcloth.com']",andthatswhywedrink
0,0,0.0,0,0.0,0.0,0.0,0.0,{},{},0.0,[],[],anotherkingdom
1,0,0.0,0,0.0,0.0,0.0,0.0,{},{},0.0,[],[],anxietycoachespod
0,0,0.0,0,0.0,0.0,0.0,0.0,{},{},0.0,[],[],arenafootballleague
3,0,0.0,0,0.0,0.0,0.0,0.0,{},{},0.0,[],[],armchairexpert
4,1,25.0,1,13.0,13.0,0.09088366890380313,0.25,{'arrowheadpride.com': 13.0},{'arrowheadpride.com': 1},1.0,['arrowheadpride.com'],['arrowheadpride.com'],arrowheadpride
5,3,60.0,12,693.0,57.75,4.549963655142163,2.4,"{'oneskin.co': 73.0, 'audible.com/abg': 48.0, 'joinbuilt.com/abg': 41.0, 'joinbuilt.com': 20.0, 'zocdoc.com': 63.0, 'apanext.com': 75.0, 'shopify.com/abg': 44.0, 'skims.com': 66.0, 'audible.com': 59.0, 'honeylove.com': 67.0, 'hiyahealth.com': 68.0, 'goodamerican.com': 69.0}","{'oneskin.co': 1, 'audible.com/abg': 1, 'joinbuilt.com/abg': 1, 'joinbuilt.com': 1, 'zocdoc.com': 1, 'apanext.com': 1, 'shopify.com/abg': 1, 'skims.com': 1, 'audible.com': 1, 'honeylove.com': 1, 'hiyahealth.com': 1, 'goodamerican.com': 1}",1.0,"['oneskin.co', 'audible.com/abg', 'joinbuilt.com/abg', 'joinbuilt.com', 'zocdoc.com', 'apanext.com', 'shopify.com/abg', 'skims.com', 'audible.com', 'honeylove.com', 'hiyahealth.com', 'goodamerican.com']","['apanext.com', 'oneskin.co', 'goodamerican.com', 'hiyahealth.com', 'honeylove.com', 'skims.com', 'zocdoc.com', 'audible.com', 'audible.com/abg', 'shopify.com/abg', 'joinbuilt.com/abg', 'joinbuilt.com']",asianbossgirl
5,5,100.0,11,479.8,43.61818181818182,2.10465084025351,2.2,"{'trainerroad.com': 9.8, 'liquid-iv.com': 174.0, 'drinklmnt.com': 197.0, 'traderjoes.com': 44.0, 'velocio.cc': 40.0, 'neversecond.com': 3.0, 'cyclesport.com': 12.0}","{'trainerroad.com': 5, 'liquid-iv.com': 1, 'drinklmnt.com': 1, 'traderjoes.com': 1, 'velocio.cc': 1, 'neversecond.com': 1, 'cyclesport.com': 1}",1.5714285714285714,"['trainerroad.com', 'liquid-iv.com', 'drinklmnt.com', 'traderjoes.com', 'velocio.cc', 'neversecond.com', 'cyclesport.com']","['drinklmnt.com', 'liquid-iv.com', 'traderjoes.com', 'velocio.cc', 'cyclesport.com', 'trainerroad.com', 'neversecond.com']",askacyclingcoach
5,0,0.0,0,0.0,0.0,0.0,0.0,{},{},0.0,[],[],athleticomince
