clientId,min_impressions,max_impressions,youtube_subscribers,instagram_followers,episode_avg_views,estimated_ad_price
disneytravelsecrets,14100,23500,0,11076,0.0,"{'30s': '13,18', '60s': '18,24'}"
drinkinbros,116655,194425,279000,168372,3075.8,"{'30s': '19,25', '60s': '25,32'}"
dropouts,28800,48000,1290000,216423,54964.8,"{'30s': '14,19', '60s': '19,25'}"
droppingthegloves,11205,18675,13100,13785,530.2,"{'30s': '15,20', '60s': '20,26'}"
earthancients,51480,85800,30300,30233,0.0,"{'30s': '16,21', '60s': '21,27'}"
eatyourcontent,165,275,0,216,0.0,"{'30s': '9,14', '60s': '12,18'}"
echalepodcast,1050,1750,0,0,0.0,"{'30s': '10,15', '60s': '14,20'}"
econtalk,0,0,28100,0,965.2,"{'30s': '14,20', '60s': '18,25'}"
embedded,177630,296050,1890,7759740,100.4,"{'30s': '20,26', '60s': '26,33'}"
entrellats,0,0,0,0,0.0,"{'30s': '11,16', '60s': '15,21'}"
everydaywellness,15810,26350,47300,424609,1121.6,"{'30s': '18,24', '60s': '24,30'}"
everylittlething,66135,110225,3,38924,0.0,"{'30s': '15,20', '60s': '20,26'}"
f1nation,9870,16450,12900000,36500581,148025.2,"{'30s': '15,20', '60s': '20,26'}"
fabulousover50,765,1275,119000,1269,248.0,"{'30s': '10,15', '60s': '14,20'}"
failureguy,0,0,13,1016,32.0,"{'30s': '9,14', '60s': '12,18'}"
fantasypros,156150,260250,266000,254024,18693.2,"{'30s': '20,26', '60s': '26,33'}"
fictionwritingmadeeasy,21360,35600,1430,7156,176.2,"{'30s': '17,22', '60s': '22,28'}"
fiercemarriage,62385,103975,21800,176527,1061.8,"{'30s': '14,19', '60s': '19,25'}"
findingmastery,23970,39950,45700,67153,3257.2,"{'30s': '18,24', '60s': '24,30'}"
fivethirtyeightpolitics,295125,491875,201000,92872,6281.8,"{'30s': '20,26', '60s': '26,33'}"
focusonthefamily,64440,107400,680000,645957,4234.0,"{'30s': '17,22', '60s': '22,28'}"
focusonthefamilymarriage,0,0,30000,16417,1417.0,"{'30s': '9,14', '60s': '12,18'}"
forthelove,94230,157050,15500,556295,320.8,"{'30s': '20,26', '60s': '26,33'}"
freakonomicsradio,454140,756900,98200,0,2337.6,"{'30s': '22,28', '60s': '28,35'}"
gangstercapitalism,107310,178850,5980,1741,351.8,"{'30s': '20,26', '60s': '26,33'}"
geeksunderthe,210,350,129,935,22.8,"{'30s': '9,14', '60s': '12,18'}"
girlsgottaeat,432660,721100,37600,309826,8313.6,"{'30s': '19,25', '60s': '25,32'}"
glamorouslygrounded,765,1275,1460,1269,185.0,"{'30s': '10,15', '60s': '14,20'}"
goop,97320,162200,193000,1872350,37395.4,"{'30s': '24,30', '60s': '30,38'}"
h3,336510,560850,0,235534,0.0,"{'30s': '19,25', '60s': '25,32'}"
happymumhappybaby,2985,4975,189000,0,21962.0,"{'30s': '12,17', '60s': '16,22'}"
hellalatin,0,0,55,3386,45.0,"{'30s': '10,15', '60s': '14,20'}"
highperformance,4485,7475,624000,363561,142056.8,"{'30s': '13,18', '60s': '17,23'}"
historythatdoesntsuck,83625,139375,7320,9622,677.2,"{'30s': '21,27', '60s': '27,34'}"
holdincourt,795,1325,136000,0,8739.0,"{'30s': '10,15', '60s': '14,20'}"
hollyburnsdreamhouse,15,25,,0,0.0,"{'30s': '9,14', '60s': '12,18'}"
hollywoodraw,16755,27925,18600,0,641.0,"{'30s': '16,21', '60s': '21,27'}"
howibuiltthis,441765,736275,34700,0,18007.8,"{'30s': '26,32', '60s': '32,40'}"
howtofailwithelizabethday,11445,19075,8890,127088,11441.6,"{'30s': '15,20', '60s': '20,26'}"
hubermanlab,388590,647650,6970000,7584728,75902.4,"{'30s': '24,30', '60s': '30,38'}"
icantsleep,14025,23375,887,377,115.6,"{'30s': '13,18', '60s': '18,24'}"
impacttheory,68550,114250,4550000,1996711,52685.8,"{'30s': '20,26', '60s': '26,32'}"
